transaction_id,amount,failure_reason,attempt_number,risk_score,risk_level,root_cause,cause_category,root_cause_confidence,recovery_probability,recovery_direction,decision,decision_confidence,decision_reason
TXN_000038,1441.6,bank_declined,1,0.5123,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4402,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000039,831.56,insufficient_funds,3,0.3263,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.97,0.0434,alternate_payment,alternate_payment,0.95,Maximum retry threshold reached; another payment method is preferred.
TXN_000053,5120.32,bank_declined,1,0.5692,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.5172,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000056,2857.93,authentication_failure,2,0.4715,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.1786,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000058,3994.27,insufficient_funds,1,0.6319,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.3905,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000059,2182.97,insufficient_funds,1,0.5613,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.3655,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000071,3103.79,bank_timeout,1,0.6148,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.782,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000073,5604.3,bank_declined,1,0.5778,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.6112,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000077,4695.27,bank_declined,1,0.5935,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.6478,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000080,6005.0,bank_declined,3,0.534,MEDIUM,Bank declined the payment,BANK_DECLINE,0.94,0.1582,alternate_payment,alternate_payment,0.95,Maximum retry threshold reached; another payment method is preferred.
TXN_000085,3954.26,bank_declined,1,0.6771,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6555,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000087,2521.82,bank_declined,1,0.5141,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4011,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000092,314.23,insufficient_funds,1,0.5161,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.2544,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000093,16816.11,network_error,1,0.5808,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7017,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000094,2403.28,bank_timeout,2,0.5514,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.4922,retry,send_reminder,0.76,Recovery probability is moderate-low; customer engagement is preferred over another immediate retry.
TXN_000101,3466.08,network_error,1,0.5982,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7033,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000103,3918.45,authentication_failure,1,0.6664,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.6573,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000108,754.44,bank_timeout,1,0.5701,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8626,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000109,2542.01,insufficient_funds,1,0.473,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.2227,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000110,2966.57,bank_declined,1,0.4701,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4228,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000118,2481.73,authentication_failure,1,0.6703,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.6257,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000119,890.58,network_error,1,0.6875,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.848,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000120,1807.76,network_error,2,0.5989,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.5905,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000125,3635.77,bank_declined,1,0.489,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3817,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000127,1083.47,authentication_failure,1,0.6249,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.5898,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000130,3544.27,network_error,3,0.5632,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.93,0.3372,escalate,stop,0.96,Maximum automated retry threshold has been reached.
TXN_000131,2296.72,network_error,1,0.6632,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7879,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000133,1251.23,insufficient_funds,1,0.4502,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.1966,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000134,674.43,network_error,1,0.661,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.8175,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000135,12318.84,authentication_failure,2,0.5827,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.277,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000136,2096.38,expired_card,1,0.5357,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.2785,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000142,1971.75,bank_declined,1,0.6537,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.5501,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000144,679.6,bank_declined,1,0.6054,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6108,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000149,3431.35,insufficient_funds,1,0.5746,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.2978,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000155,867.3,bank_declined,2,0.4572,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.2554,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000156,3561.46,authentication_failure,2,0.4661,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.2228,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000160,897.55,authentication_failure,1,0.3909,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.353,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000161,4943.69,bank_timeout,1,0.5593,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6749,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000164,1720.94,expired_card,1,0.5406,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.239,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000169,4426.45,bank_timeout,1,0.6701,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8403,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000172,7598.32,insufficient_funds,1,0.6703,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.4188,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000173,548.27,expired_card,1,0.4473,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.181,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000178,926.17,bank_timeout,1,0.606,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8243,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000183,2656.37,network_error,1,0.4812,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7091,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000190,2097.92,network_error,1,0.6697,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.8051,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000191,2203.85,network_error,1,0.6025,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7684,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000193,2417.11,bank_timeout,1,0.7075,CRITICAL,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8329,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000197,303.88,bank_declined,1,0.6485,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6976,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000199,3372.59,bank_declined,1,0.4814,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3871,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000202,6336.02,authentication_failure,1,0.607,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.5114,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000203,3151.78,bank_declined,1,0.499,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3924,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000212,973.57,bank_timeout,2,0.4709,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.4537,retry,send_reminder,0.76,Recovery probability is moderate-low; customer engagement is preferred over another immediate retry.
TXN_000214,613.61,expired_card,2,0.5314,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.1369,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000218,3532.1,bank_declined,1,0.6804,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.5898,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000221,7615.16,bank_declined,1,0.5982,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.6141,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000224,1278.43,bank_declined,3,0.3511,MEDIUM,Bank declined the payment,BANK_DECLINE,0.94,0.0743,alternate_payment,alternate_payment,0.95,Maximum retry threshold reached; another payment method is preferred.
TXN_000237,2107.89,insufficient_funds,2,0.5954,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.22,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000243,4157.79,network_error,2,0.6137,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.5581,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000245,1489.5,network_error,2,0.4795,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.4917,retry,send_reminder,0.76,Recovery probability is moderate-low; customer engagement is preferred over another immediate retry.
TXN_000246,1012.2,network_error,1,0.5672,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7516,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000247,4551.21,network_error,1,0.6018,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7234,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000248,9316.98,authentication_failure,2,0.5855,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.2795,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000253,4813.99,bank_timeout,1,0.6642,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8409,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000254,2304.73,bank_declined,1,0.569,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4512,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000256,4975.63,expired_card,1,0.4751,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.1965,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000258,2539.74,bank_timeout,2,0.6053,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6221,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000260,4268.69,insufficient_funds,1,0.5696,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.3783,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000262,1602.26,authentication_failure,2,0.4639,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.2004,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000263,5870.66,bank_declined,1,0.4084,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3605,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000266,1783.6,network_error,1,0.594,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.751,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000268,4216.9,bank_timeout,2,0.6381,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6637,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000269,6435.31,bank_timeout,1,0.5158,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7764,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000270,1816.34,bank_declined,1,0.5018,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3449,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000274,827.05,bank_declined,1,0.6615,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6696,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000275,5944.08,authentication_failure,2,0.424,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.1593,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000280,6559.37,authentication_failure,3,0.4545,MEDIUM,Payment authentication failed,AUTHENTICATION,0.91,0.0782,customer_action,stop,0.96,Maximum automated retry threshold has been reached.
TXN_000286,1830.21,bank_timeout,2,0.5179,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6616,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000289,1128.89,bank_declined,1,0.5292,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4692,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000296,4974.89,bank_timeout,2,0.6609,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7496,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000297,557.27,authentication_failure,1,0.5788,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.5654,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000301,765.31,authentication_failure,1,0.5832,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.4884,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000311,862.93,network_error,1,0.6512,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.8348,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000312,4670.95,authentication_failure,1,0.5842,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.5112,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000313,4698.61,bank_timeout,1,0.5916,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7147,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000314,994.23,network_error,2,0.4327,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.5558,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000315,5508.95,authentication_failure,2,0.4222,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.1451,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000320,5641.21,network_error,1,0.5466,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7437,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000321,2031.41,bank_declined,2,0.4118,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.1496,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000322,717.03,network_error,1,0.5201,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.6551,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000328,1079.52,authentication_failure,2,0.3515,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.1911,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000329,2122.85,bank_declined,1,0.6224,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.5895,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000334,675.02,bank_timeout,1,0.508,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6497,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000336,868.0,bank_declined,1,0.5759,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.5242,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000337,1632.1,network_error,1,0.6583,HIGH,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7875,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000343,1254.56,bank_timeout,1,0.6823,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8678,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000352,4421.11,bank_timeout,2,0.5776,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6311,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000355,4963.33,bank_declined,2,0.5285,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.2859,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000358,2064.31,bank_declined,2,0.609,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.3286,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000359,16172.99,bank_declined,1,0.5657,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4143,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000362,4347.04,bank_timeout,1,0.6361,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8182,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000363,7805.69,bank_timeout,1,0.6209,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7691,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000371,1790.58,bank_declined,1,0.6674,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6467,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000372,2490.68,insufficient_funds,1,0.6507,HIGH,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.4221,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000378,4677.71,bank_timeout,1,0.5915,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7268,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000381,3203.63,expired_card,1,0.4924,MEDIUM,Payment card has expired,PAYMENT_INSTRUMENT,0.98,0.1886,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000382,5295.16,authentication_failure,1,0.4629,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.3755,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000387,6606.07,bank_timeout,1,0.5746,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7568,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000391,3786.16,network_error,1,0.4013,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.5766,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000395,413.46,bank_timeout,1,0.5254,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7699,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000397,2807.84,authentication_failure,2,0.4426,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.1848,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000401,3590.87,bank_timeout,1,0.6979,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.8609,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000403,12647.75,bank_declined,1,0.4808,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.3048,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000405,1163.16,bank_timeout,1,0.4838,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6464,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000413,1383.45,authentication_failure,3,0.3895,MEDIUM,Payment authentication failed,AUTHENTICATION,0.91,0.079,customer_action,stop,0.96,Maximum automated retry threshold has been reached.
TXN_000415,1906.86,bank_timeout,1,0.532,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7087,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000416,3450.82,bank_timeout,1,0.6226,HIGH,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.7834,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000420,686.23,bank_declined,1,0.6369,HIGH,Bank declined the payment,BANK_DECLINE,0.91,0.6184,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000423,1218.49,authentication_failure,2,0.4326,MEDIUM,Payment authentication failed,AUTHENTICATION,0.88,0.2024,customer_action,stop,0.84,Low recovery probability and customer action is required.
TXN_000430,1164.05,bank_timeout,2,0.5153,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.5699,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000431,1192.4,bank_timeout,1,0.4932,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6534,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
